pair_id,category,consumer_id,cell_i,cell_j,cell_as_A,cell_as_B,swapped,raw_choice,choice_winner,preference_strength,better_fit,more_trustworthy,more_tradeoff_concern,rationale,demand_model
headphones_000_00v10,headphones,0,00,10,00,10,0,B,10,3,10,tie,00,Sony headphones fit budget better and are still good quality.,gemma2:9b
headphones_000_00v01,headphones,0,00,01,00,01,0,tie,tie,2,tie,tie,00,"Both packages recommend the same product, exceeding budget. Package B emphasizes user data, making it slightly more trustworthy.",gemma2:9b
headphones_000_00v11,headphones,0,00,11,11,00,1,A,11,3,11,tie,00,Sony headphones fit budget better and have good reviews.,gemma2:9b
headphones_000_10v01,headphones,0,10,01,10,01,0,A,10,4,10,tie,01,Sony headphones fit budget better and have good features for casual use.,gemma2:9b
headphones_000_10v11,headphones,0,10,11,10,11,0,B,11,3,tie,11,10,"Package B's social proof (conversion rate, satisfaction) makes it more convincing.",gemma2:9b
headphones_000_01v11,headphones,0,01,11,11,01,1,A,11,4,11,tie,01,Sony headphones fit budget better and have good reviews despite a bass-heavy sound.,gemma2:9b
headphones_001_00v10,headphones,1,00,10,00,10,0,tie,tie,2,tie,tie,tie,"Identical products and recommendations, consumer indifferent.",gemma2:9b
headphones_001_00v01,headphones,1,00,01,00,01,0,B,01,3,tie,01,00,"Package B's social proof (conversion rate, satisfaction) makes it more appealing.",gemma2:9b
headphones_001_00v11,headphones,1,00,11,00,11,0,B,11,3,tie,11,00,"Package B's social proof (conversion rate, satisfaction) makes it more appealing.",gemma2:9b
headphones_001_10v01,headphones,1,10,01,01,10,1,tie,tie,2,tie,tie,tie,Both packages recommend the same product with very similar wording.,gemma2:9b
headphones_001_10v11,headphones,1,10,11,11,10,1,tie,tie,2,tie,tie,tie,Both packages recommend the same product with very similar wording.,gemma2:9b
headphones_001_01v11,headphones,1,01,11,01,11,0,tie,tie,2,tie,tie,tie,Identical recommendations with same product and information.,gemma2:9b
headphones_002_00v10,headphones,2,00,10,00,10,0,tie,tie,2,tie,tie,tie,Identical recommendations and products make for a tie.,gemma2:9b
headphones_002_00v01,headphones,2,00,01,01,00,1,A,01,3,tie,01,00,Recommendation A is more concise and avoids potentially off-putting price emphasis.,gemma2:9b
headphones_002_00v11,headphones,2,00,11,00,11,0,B,11,4,tie,11,00,Package B's user data and conversion rate add credibility.,gemma2:9b
headphones_002_10v01,headphones,2,10,01,01,10,1,A,01,3,tie,01,10,Recommendation A is more concise and avoids potentially off-putting price emphasis.,gemma2:9b
headphones_002_10v11,headphones,2,10,11,10,11,0,B,11,4,tie,11,10,Package B's user data and conversion rate add credibility.,gemma2:9b
headphones_002_01v11,headphones,2,01,11,11,01,1,tie,tie,2,tie,tie,tie,Identical recommendations and products make for a tie.,gemma2:9b
headphones_003_00v10,headphones,3,00,10,10,00,1,A,10,3,10,tie,00,Sony offers better quality and features despite a slightly higher price.,gemma2:9b
headphones_003_00v01,headphones,3,00,01,01,00,1,tie,tie,2,tie,tie,tie,Both recommendations are very similar with identical product and price.,gemma2:9b
headphones_003_00v11,headphones,3,00,11,00,11,0,A,00,3,tie,00,11,Package A is more budget-friendly and transparent about limitations.,gemma2:9b
headphones_003_10v01,headphones,3,10,01,01,10,1,A,01,3,tie,01,10,JBL is cheaper and fits the budget better. Sony's recommendation feels less balanced.,gemma2:9b
headphones_003_10v11,headphones,3,10,11,10,11,0,B,11,3,tie,11,10,"Package B's social proof (conversion rate, satisfaction) makes it more appealing.",gemma2:9b
headphones_003_01v11,headphones,3,01,11,01,11,0,A,01,3,tie,01,11,Package A is more budget-friendly and trustworthy despite slightly lower quality.,gemma2:9b
headphones_004_00v10,headphones,4,00,10,10,00,1,tie,tie,2,tie,tie,tie,Identical recommendations and products make for a tie.,gemma2:9b
headphones_004_00v01,headphones,4,00,01,01,00,1,tie,tie,2,tie,tie,tie,Both recommendations are very similar and highlight the same strengths.,gemma2:9b
headphones_004_00v11,headphones,4,00,11,00,11,0,B,11,3,tie,11,00,Package B's user data adds social proof and trustworthiness.,gemma2:9b
headphones_004_10v01,headphones,4,10,01,10,01,0,B,01,3,tie,01,10,Package B's user data adds social proof and trustworthiness.,gemma2:9b
headphones_004_10v11,headphones,4,10,11,11,10,1,tie,tie,2,tie,tie,tie,Both recommendations are very similar and highlight the same strengths.,gemma2:9b
headphones_004_01v11,headphones,4,01,11,11,01,1,tie,tie,2,tie,tie,tie,Identical recommendations with no differentiating factors.,gemma2:9b
headphones_005_00v10,headphones,5,00,10,10,00,1,tie,tie,2,tie,tie,tie,Identical recommendations with no differentiating factors.,gemma2:9b
headphones_005_00v01,headphones,5,00,01,00,01,0,B,01,3,tie,01,00,"Package B's social proof (conversion rate, satisfaction) adds trust.",gemma2:9b
headphones_005_00v11,headphones,5,00,11,00,11,0,B,11,3,tie,11,00,"Package B's social proof (conversion rate, satisfaction) makes it more trustworthy.",gemma2:9b
headphones_005_10v01,headphones,5,10,01,10,01,0,B,01,3,tie,01,10,"Package B's social proof (conversion rate, satisfaction) makes it more trustworthy.",gemma2:9b
