row_id,purchase_likelihood,perceived_fit,trust,perceived_tradeoff_risk,demand_rationale,demand_model,demand_parse_success
unified_p0_headphones_000,85,6,6,3,Good balance of features and price for quality-focused user.,gemma2:9b,True
twostage_p0_headphones_000,65,6,6,4,"Good quality and brand fit, but price is slightly above budget.",gemma2:9b,True
unified_p0_headphones_001,85,6,6,3,"Affordable price, good battery life, matches casual use case.",gemma2:9b,True
twostage_p0_headphones_001,85,6,6,4,"Fits budget, desired features, acceptable tradeoffs.",gemma2:9b,True
twostage_p0_headphones_002,85,6,6,3,"High quality, trusted brand, fits budget and use case.",gemma2:9b,True
unified_p0_headphones_003,85,6,6,3,"Affordable price, good features align with budget and use case.",gemma2:9b,True
twostage_p0_headphones_003,85,6,6,3,"Fits budget, desired features, and use case. Some quality concerns.",gemma2:9b,True
unified_p0_headphones_004,75,6,6,3,"Good value for money, fits budget and needs.",gemma2:9b,True
twostage_p0_headphones_004,85,6,6,2,"High quality, fits budget, trusted brand, good features.",gemma2:9b,True
unified_p0_headphones_005,72,6,6,3,"High quality matches audiophile needs, price is a moderate concern.",gemma2:9b,True
twostage_p0_headphones_005,65,6,6,4,"High quality aligns with audiophile preference, but price exceeds budget.",gemma2:9b,True
unified_p0_headphones_006,82,6,6,4,"Good price, long battery life, suitable sound for gaming.",gemma2:9b,True
twostage_p0_headphones_006,75,6,6,4,"Affordable, good battery life, but basic noise cancellation.",gemma2:9b,True
unified_p0_headphones_007,85,6,6,3,"Affordable price, decent features align with budget-casual use.",gemma2:9b,True
twostage_p0_headphones_007,85,6,6,3,"Fits budget, desired features, and casual use case.",gemma2:9b,True
unified_p0_headphones_008,85,6,6,3,"High quality, noise cancellation good for gaming, price acceptable.",gemma2:9b,True
twostage_p0_headphones_008,85,6,6,3,High quality and noise cancellation align with gaming needs.,gemma2:9b,True
unified_p0_headphones_009,68,6,6,4,Good features but slightly over budget and bass-heavy sound might not be ideal.,gemma2:9b,True
twostage_p0_headphones_009,65,6,6,4,"Good quality, fit use case, but price slightly exceeds budget.",gemma2:9b,True
twostage_p0_headphones_010,75,6,6,4,High quality and brand familiarity outweigh slight budget exceedance.,gemma2:9b,True
unified_p0_headphones_011,85,6,6,3,"Fits budget, use case, and desired features. Brand is familiar.",gemma2:9b,True
twostage_p0_headphones_011,85,6,6,3,"Good price, familiar brand, fits budget and use case.",gemma2:9b,True
unified_p0_headphones_012,85,6,6,3,"Affordable price, good battery life, suitable for commuting needs.",gemma2:9b,True
twostage_p0_headphones_012,85,6,6,3,"Fits budget, commuting use case, and desired features.",gemma2:9b,True
unified_p0_headphones_013,75,6,6,3,"Good fit for commuting needs, slightly above budget but quality justifies it.",gemma2:9b,True
twostage_p0_headphones_013,75,6,6,3,"Good value, fits budget and use case. ANC not top tier.",gemma2:9b,True
unified_p0_headphones_014,80,6,6,3,High-quality noise cancellation and lightweight design are appealing for running.,gemma2:9b,True
twostage_p0_headphones_014,85,6,6,3,High-quality Bose headphones fit use case and budget.,gemma2:9b,True
unified_p0_headphones_015,85,6,6,3,"High quality, fits budget, noise cancellation is ideal for office.",gemma2:9b,True
twostage_p0_headphones_015,85,6,6,3,"High quality, good fit for office use, price slightly above budget.",gemma2:9b,True
unified_p0_headphones_016,75,6,6,4,"Affordable price, good battery life, matches commuting needs.",gemma2:9b,True
twostage_p0_headphones_016,85,6,6,4,"Affordable price, long battery life, and noise cancellation suit commuting needs.",gemma2:9b,True
unified_p0_headphones_017,85,6,6,3,"Good price, quality, and features align with budget-conscious needs.",gemma2:9b,True
twostage_p0_headphones_017,85,6,6,3,"Good value, matches use case and budget. Bass-heavy tuning might be a slight concern.",gemma2:9b,True
unified_p0_headphones_018,85,6,6,3,"Fits budget, familiar brand, good battery life for commuting.",gemma2:9b,True
twostage_p0_headphones_018,85,6,6,4,"Good value for commuting, meets key needs despite some tradeoffs.",gemma2:9b,True
unified_p0_headphones_019,45,6,6,5,High quality but exceeds budget. Consumer may prioritize value.,gemma2:9b,True
twostage_p0_headphones_019,25,6,4,6,High price exceeds budget despite quality appeal.,gemma2:9b,True
unified_p0_laptop_000,82,6,6,4,"Fits budget, good specs for office use. Limited upgradeability noted.",gemma2:9b,True
twostage_p0_laptop_000,85,6,6,3,"Fits budget, good features for office use, brand familiar.",gemma2:9b,True
unified_p0_laptop_001,85,6,6,4,"High quality, fits use case, but price is a concern.",gemma2:9b,True
twostage_p0_laptop_001,85,6,6,3,"High quality, fits use case, but storage may be limiting.",gemma2:9b,True
unified_p0_laptop_002,82,6,6,4,"Good value for student needs, some performance tradeoffs.",gemma2:9b,True
twostage_p0_laptop_002,75,6,6,3,"Fits budget and use case, quality is acceptable.",gemma2:9b,True
unified_p0_laptop_003,85,6,6,4,"Affordable price, decent specs align with student needs.",gemma2:9b,True
