product_id,brand,model_name,price,price_tier,key_features,best_for,drawbacks,review_summary,quality_score,brand_familiarity,margin_proxy,inventory_pressure,category
phone_chargers_001,Anker,PowerPort Nano Lite 20W,14.99,budget,"['20W USB-C output', 'compact design', 'foldable prongs']","['daily carry', 'iPhone fast charging']","['single port only', 'no cable included']",A tiny and reliable charger that’s perfect for everyday use but lacks versatility.,0.88,0.9,0.42,0.3,phone_chargers
phone_chargers_002,Belkin,BoostCharge 18W USB-C Wall Charger,19.99,budget,"['18W fast charging', 'USB-C PD support', 'compact housing']","['budget iPhone users', 'travel backup']","['slower than newer standards', 'single port']",Solid entry-level charger that gets the job done but feels slightly outdated.,0.85,0.92,0.4,0.35,phone_chargers
phone_chargers_003,Ugreen,Mini 20W PD Charger,12.49,budget,"['USB-C PD', 'compact cube design', 'overheat protection']","['students', 'budget travel kits']","['basic build materials', 'no multi-device support']","Affordable and dependable, though it feels a bit plasticky.",0.8,0.75,0.5,0.45,phone_chargers
phone_chargers_004,Baseus,Super Mini 25W Charger,15.99,budget,"['25W output', 'USB-C port', 'lightweight']","['Android fast charging', 'portable use']","['runs slightly warm', 'limited durability']",Impressive speed for the price but not the most robust build.,0.78,0.7,0.55,0.5,phone_chargers
phone_chargers_005,Aukey,Omnia Mini 20W PA-B1,13.99,budget,"['GaN tech', '20W PD', 'compact size']","['minimalists', 'quick top-ups']","['single port', 'limited brand support']",A compact GaN charger that’s efficient but not very versatile.,0.82,0.7,0.48,0.4,phone_chargers
phone_chargers_006,Spigen,ArcStation Core 20W,17.99,budget,"['USB-C PD', 'sleek design', 'safe charging tech']","['style-conscious users', 'iPhone owners']","['slightly bulky', 'no cable included']","Stylish and dependable, though not the smallest option.",0.84,0.85,0.44,0.38,phone_chargers
phone_chargers_007,Xiaomi,Mi 22.5W Charger Basic,10.99,budget,"['22.5W output', 'USB-A port', 'compact']","['budget Android users', 'secondary charger']","['USB-A only', 'slower modern compatibility']",Cheap and functional but lacks modern USB-C support.,0.76,0.85,0.6,0.55,phone_chargers
phone_chargers_008,RavPower,FastCharge 20W Cube,11.49,budget,"['20W output', 'compact cube', 'safety protections']","['backup chargers', 'travel']","['average build quality', 'no extras']",A basic charger that’s reliable but nothing special.,0.79,0.72,0.52,0.47,phone_chargers
phone_chargers_009,OnePlus,Warp Mini 18W Adapter,18.5,budget,"['18W fast charging', 'USB-A port', 'compact design']","['OnePlus users', 'casual charging']","['limited compatibility', 'older standard']",Works well within its ecosystem but feels dated elsewhere.,0.81,0.82,0.46,0.42,phone_chargers
phone_chargers_010,Anker,Nano II 45W GaN Charger,34.99,midrange,"['45W output', 'GaN II tech', 'compact']","['phones and tablets', 'travel']","['single port', 'premium for size']","Powerful and compact, though it could use an extra port.",0.9,0.9,0.43,0.3,phone_chargers
phone_chargers_011,Belkin,BoostCharge Dual USB-C 40W,39.99,midrange,"['dual USB-C ports', '40W total output', 'PD support']","['multi-device users', 'travel kits']","['power splits between ports', 'slightly bulky']",Convenient dual-port charger but power sharing limits peak speeds.,0.87,0.92,0.45,0.33,phone_chargers
phone_chargers_012,Samsung,Super Fast Charger 45W 2.0,29.99,midrange,"['45W PPS support', 'USB-C', 'optimized for Galaxy']","['Samsung users', 'fast charging']","['limited benefit for non-Samsung devices', 'single port']",Excellent for Galaxy devices but less impressive elsewhere.,0.88,0.95,0.4,0.28,phone_chargers
phone_chargers_013,Ugreen,Nexode 45W Dual Port,32.5,midrange,"['GaN tech', 'dual ports', 'smart power distribution']","['office setups', 'two-device charging']","['slight heat under load', 'no cable included']",A versatile charger with good value but runs a bit warm.,0.86,0.75,0.5,0.4,phone_chargers
phone_chargers_014,Baseus,GaN5 Pro 65W Slim,42.99,midrange,"['65W output', 'slim profile', 'dual USB-C + USB-A']","['laptop and phone combo', 'desk setups']","['power splits across ports', 'branding less trusted']","Feature-packed and slim, though performance dips with multiple devices.",0.85,0.7,0.55,0.5,phone_chargers
phone_chargers_015,Spigen,ArcStation Pro 45W,27.99,midrange,"['45W PD', 'compact', 'durable housing']","['daily charging', 'portable setups']","['single port', 'not the smallest']","Reliable and sturdy, but lacks multi-device flexibility.",0.86,0.85,0.44,0.36,phone_chargers
phone_chargers_016,RavPower,PD Pioneer 65W 2-Port,35.99,midrange,"['65W output', 'dual ports', 'GaN']","['laptop users', 'multi-device setups']","['bulkier than rivals', 'brand inconsistency']",Strong performance for the price but not the most refined design.,0.84,0.72,0.5,0.42,phone_chargers
phone_chargers_017,Mophie,Speedport 30W USB-C,24.95,midrange,"['30W PD', 'compact', 'premium finish']","['iPhone users', 'home charging']","['single port', 'slightly overpriced']",A clean and reliable charger that’s a bit pricey for its output.,0.87,0.8,0.47,0.34,phone_chargers
phone_chargers_018,Xiaomi,67W Turbo Charge Adapter,39.5,midrange,"['67W fast charging', 'USB-A', 'turbo protocol']","['Xiaomi devices', 'fast top-ups']","['limited cross-brand compatibility', 'USB-A only']",Extremely fast for supported devices but less flexible overall.,0.85,0.85,0.52,0.48,phone_chargers
phone_chargers_019,Anker,Prime 67W GaN Charger,69.99,premium,"['67W output', '3 ports', 'GaNPrime tech']","['power users', 'multi-device charging']","['expensive', 'power sharing reduces max output']",A powerful multi-port charger with excellent build but high cost.,0.92,0.9,0.4,0.25,phone_chargers
phone_chargers_020,Belkin,BoostCharge Pro 65W GaN,59.99,premium,"['65W output', 'dual USB-C', 'GaN']","['Apple ecosystem users', 'travel']","['pricey', 'limited ports']","Premium feel and performance, but you pay extra for the brand.",0.9,0.92,0.42,0.28,phone_chargers
phone_chargers_021,Samsung,Triple Port 65W Travel Adapter,54.99,premium,"['3 ports', '65W max', 'PPS support']","['Samsung users', 'multi-device charging']","['bulky', 'best speeds limited to Samsung']","Versatile and powerful, though optimized mainly for Samsung devices.",0.89,0.95,0.38,0.27,phone_chargers
phone_chargers_022,Apple,35W Dual USB-C Compact Adapter,59.0,premium,"['dual USB-C', 'compact design', 'Apple optimized']","['Apple users', 'travel']","['expensive for wattage', 'limited power output']",Elegant and reliable but underpowered for the price.,0.91,0.98,0.35,0.2,phone_chargers
phone_chargers_023,Ugreen,Nexode 100W 4-Port Charger,74.99,premium,"['100W output', '4 ports', 'GaN']","['power users', 'desk setups']","['large size', 'power distribution complexity']",Highly capable but best suited for stationary use due to size.,0.9,0.75,0.5,0.35,phone_chargers
phone_chargers_024,Baseus,Blade 100W Desktop Charger,79.99,premium,"['100W output', 'flat design', '4 ports']","['desk setups', 'multi-device users']","['not travel-friendly', 'brand trust varies']",A powerful desktop charger with a unique design but limited portability.,0.88,0.7,0.55,0.45,phone_chargers
phone_chargers_025,Mophie,Speedport 67W Pro,64.95,premium,"['67W output', 'dual USB-C', 'premium build']","['premium users', 'travel kits']","['expensive', 'limited ports']","Well-built and reliable, though not the most feature-rich for the price.",0.9,0.8,0.46,0.3,phone_chargers
