asin,title,brand,category,popularity_rank,rating_count,average_rating,price,overall_sentiment,positive_feedback_ratio,key_positive_features,common_complaints,best_fit_segments,poor_fit_segments,review_volume_category,feature_count
B07ZPC9QD4,Apple AirPods Pro,Apple,headphones,1,300544,4.8,249.0,overwhelmingly positive,very high,"Active noise cancellation for immersive sound | Transparency mode for hearing and connecting with the world around you | Three sizes of soft, tapered silicone tips for a customizable fit | Sweat and water resistant",minor complaints about fit or durability,commuters and frequent travelers | athletes and gym-goers | wireless convenience seekers,no major segment mismatches reported,bestseller,8
B01M0GB8CC,"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",Apple,headphones,2,201075,4.6,16.99,overwhelmingly positive,very high,"Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other earbud-style headphones. | The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio. | The EarPods with Lightning Connector also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord. | Works with all devices that have a Lightning connector and support iOS 10 or later, including iPod touch, iPad, and iPhone. Also works with iPad models with iPadOS.",minor complaints about fit or durability,budget-conscious buyers,wired-only; not ideal for users wanting wireless freedom | may lack durability or advanced features for demanding users,bestseller,4
B07S764D9V,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Microphone and Call Controller, Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops - RP-TCM125-A (Blue)",Panasonic,headphones,3,136251,4.3,13.99,generally positive,high,"The RP-TCM125 ErgoFit Earbud Headphones with Microphone and Call Controller are the perfect combination of style, comfort, functionality and most of all, high-quality sound. The In-line microphone on the cord of earbud headphones is used for answering calls or voice commands. Three sets of earpads (S/M/L included) | Product Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears",some complaints about build quality or value for money,commuters and frequent travelers | budget-conscious buyers,wired-only; not ideal for users wanting wireless freedom | may lack durability or advanced features for demanding users,bestseller,2
B09XRCVYGC,"OnePlus Bullets Wireless Z2 Bluetooth 5.0 in Ear Earphones, Bombastic Bass – 12.4 mm Drivers, 30 Hrs Battery Life (Magico Black)",ONEPLUS,headphones,4,121313,4.2,52.0,generally positive,high,"A quick 10-minute charge delivers up to 20 hours of immersive audio playback. | The flagship-level battery life delivers up to 30 hours of non-stop music on a single charge. | A large 12.4 mm bass driver delivers uncompromisingly deep bass for powerful beats. Experience incredibly rich audio detail at every frequency with the titanium coating dome | Anti-distortion audio technology ensures your audio playtime stays silky-smooth. Thanks to the larger sound cavity and industry-leading algorithms, notes remain distortion-free",some complaints about build quality or value for money,commuters and frequent travelers | athletes and gym-goers | wireless convenience seekers,no major segment mismatches reported,bestseller,5
B08TMJFSV3,"Soundcore Anker Life P2 True Wireless Earbuds, Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",Soundcore,headphones,5,117047,4.2,39.99,generally positive,high,"Incredible Sound Loved by 20 Million+ People | Perfect for Home Offices: Each earbud has two microphones with beamforming noise reduction as well as cVc 8.0 technology for superior vocal enhancement and background-noise suppression. | Incredible Sound Powered By Graphene Drivers: Delivers music with a wider soundstage and exceptional accuracy and clarity. BassUp technology enhances bass by up to 43% and aptX audio offers lossless transmission between your device and the wireless earbuds. | 40-Hour Playtime* with Fast Charge: A single charge gives you a full 7 hours of listening, while the charging case extends that to 40 hours. When you’re in a rush and need power fast, simply charge for 10 minutes and get up to 1 hour of playtime.",some complaints about build quality or value for money,commuters and frequent travelers | athletes and gym-goers | wireless convenience seekers,no major segment mismatches reported,bestseller,5
B00PKTU83U,"Sony ZX Series Wired On-Ear Headphones with Mic, White MDR-ZX110AP",Sony,headphones,6,104579,4.5,18.25,overwhelmingly positive,very high,"Lightweight 1.38 in neodymium dynamic drivers deliver a punchy, rhythmic response to even the most demanding tracks | The swiveling earcup design allows easy storage when you’re not using them, and enhances portability when you’re traveling | With an inline remote and built-in microphone on the headphone cord, take hands-free calls from selected smartphones while listening to music | Cushioned earpads for total comfort and enfolding closed-back design seals in sound",minor complaints about fit or durability,commuters and frequent travelers | budget-conscious buyers,wired-only; not ideal for users wanting wireless freedom | may lack durability or advanced features for demanding users,mainstream,6
B08K2S5B88,"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Black/Green)",ZIHNIC,headphones,7,73753,4.4,27.99,generally positive,high,"【ASTONISHING SOUND PRODUCTION 】: High Definition Stereo Headphones, specially developed software and noise reduction technology designed to prevent you from heating ambient noises and makes you focus on what you want to hear. Lose yourself in immersive music even in the lowest volume levels! The goal that provide customers with outstanding sound quality is our constant pursuit | 【BUILT FOR YOUR COMFORTABILITY 】: The earmuff is made by artificial leather, ensuring lasting comfort. They are foldable and stretchable, which allows you to find the perfect fit without constraint and excellent durability. Zihnic is the best choice for travel, sport and daily use by Unisex Kids, Teens and Adults. | 【SEAMLESS BLUETOOTH CONNECTION】: Built to provide a quick and stable Bluetooth connection . Just slide the on/off button and the headphones will be in ready to pair mode. The Wireless Headphones are compatible with all Bluetooth or 3.5mm plug cable enabled devices! You can also receive calls and have hands-free communication through the special noise reduction technology microphone Zihnic Headphones are compatible with all Phones X, 8 Plus, Samsung S9, S8, Pads, Pods, Huawei, Nexus, Amazon Alex | 【ERGONOMIC DESIGN】 : Zihnic headphones are built from materials that are extremely nice to touch which provides the model premium outlook. The super soft memory-protein foam leather earmuffs and headbands contribute to maximum comfort regardless of how long you use them. Zihnic headphones also come with a protective Premium Case - a great way to reduce wear and tear.",some complaints about build quality or value for money,athletes and gym-goers | wireless convenience seekers | home listeners and office workers,wired-only; not ideal for users wanting wireless freedom,mainstream,5
B0C337TNGS,"Beats Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Ivory",Beats,headphones,8,70897,4.5,199.95,overwhelmingly positive,very high,"Totally wireless high-performance earphones | Up to 9 hours of listening time (more than 24 hours with charging case) | Adjustable, secure-fit earhooks for lightweight comfort and stability | Reinforced design for sweat & water resistance during tough workouts",minor complaints about fit or durability,commuters and frequent travelers | athletes and gym-goers | wireless convenience seekers,no major segment mismatches reported,mainstream,10
B0C337RV7Q,"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Red (Latest Model)",Beats,headphones,9,67998,4.7,129.0,overwhelmingly positive,very high,"High-performance wireless Bluetooth headphones | Features the Apple W1 chip and Class 1 wireless Bluetooth connectivity | With up to 40 hours of battery life, Beats Solo3 wireless is your perfect everyday headphone | Compatible with iOS and Android devices",minor complaints about fit or durability,commuters and frequent travelers | wireless convenience seekers | premium audio enthusiasts,no major segment mismatches reported,mainstream,10
B0C338S8M7,"Beats Studio Buds – True Wireless Noise Cancelling Earbuds – Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Moon Gray",Beats,headphones,10,67037,4.4,149.95,generally positive,high,"Custom acoustic platform delivers powerful, balanced sound | Control your sound with two distinct listening modes: Active Noise Cancelling (ANC) and Transparency mode | Three soft ear tip sizes for a stable and comfortable fit while ensuring an optimum acoustic seal | Up to 8 hours of listening time (up to 24 hours combined with pocket-sized charging case)",some complaints about build quality or value for money,commuters and frequent travelers | athletes and gym-goers | audiophiles and music professionals,no major segment mismatches reported,mainstream,9
